Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Field
26,Male,Bachelor's,Junior Accountant,1,35000.0,Finance
38,Female,Master's,Manager,10,90000.0,Management
46,Male,Bachelor's,Manager,19,120000.0,Management
31,Female,Bachelor's,Customer Service Representative,5,45000.0,Other
34,Male,Master's,Manager,8,90000.0,Management
49,Female,Master's,Senior Financial Analyst,18,150000.0,Data Analyst
33,Male,Bachelor's,Web Developer,6,65000.0,Engineering
39,Female,Bachelor's,Recruiter,11,70000.0,Human Resources
45,Male,PhD,Research Director,16,190000.0,Management
28,Male,Bachelor's,Technical Support Specialist,2,40000.0,Other
42,Female,Master's,Creative Director,14,120000.0,Management
37,Male,Bachelor's,Manager,10,95000.0,Management
50,Female,Bachelor's,Manager,22,160000.0,Management
32,Male,Master's,Software Engineer,6,100000.0,Engineering
48,Female,Master's,Human Resources Director,20,180000.0,Management
30,Female,Bachelor's,Manager,3,55000.0,Management
36,Male,Bachelor's,Technical Recruiter,8,70000.0,Human Resources
41,Female,Master's,Data Analyst,13,80000.0,Data Analyst
25,Male,Bachelor's,Sales Representative,0,30000.0,Sales and Marketing
52,Male,PhD,Chief Technology Officer,24,250000.0,Other
29,Female,Bachelor's,Junior Designer,2,40000.0,Other
34,Female,Master's,Financial Advisor,10,95000.0,Finance
27,Male,Bachelor's,Manager,2,45000.0,Management
40,Female,Bachelor's,Hr Generalist,15,80000.0,Human Resources
46,Male,Master's,Senior Manager,21,135000.0,Management
31,Female,Bachelor's,Marketing Coordinator,6,55000.0,Sales and Marketing
36,Male,PhD,Principal Scientist,11,120000.0,Research
29,Female,Bachelor's,Sales Associate,3,40000.0,Sales and Marketing
43,Male,Bachelor's,Manager,18,105000.0,Management
52,Female,Master's,Senior Manager,25,170000.0,Management
33,Male,Bachelor's,Business Analyst,7,75000.0,Data Analyst
39,Female,Bachelor's,Training Specialist,12,65000.0,Other
47,Male,PhD,Research Scientist,22,160000.0,Research
26,Male,Bachelor's,Junior Software Developer,1,35000.0,Engineering
38,Female,Master's,Manager,10,90000.0,Management
45,Male,Bachelor's,Operations Analyst,20,110000.0,Data Analyst
31,Female,Bachelor's,Event Coordinator,5,45000.0,Other
35,Male,Master's,Manager,8,95000.0,Management
49,Female,Master's,Senior Manager,19,150000.0,Management
33,Male,Bachelor's,Junior Web Developer,5,50000.0,Engineering
39,Female,Master's,Senior Project Coordinator,13,80000.0,Other
44,Male,PhD,Chief Data Officer,16,220000.0,Other
30,Female,Bachelor's,Digital Content Producer,3,50000.0,Other
36,Male,Bachelor's,It Support Specialist,7,60000.0,IT
41,Female,Master's,Senior Marketing Analyst,14,100000.0,Data Analyst
28,Male,Bachelor's,Manager,2,40000.0,Management
42,Female,Master's,Senior Graphic Designer,15,110000.0,Other
37,Male,Bachelor's,Manager,9,95000.0,Management
50,Female,Bachelor's,Supply Chain Analyst,22,130000.0,Data Analyst
32,Male,Master's,Senior Business Analyst,6,90000.0,Data Analyst
23,Female,Bachelor's,Junior Marketing Analyst,0,35000.0,Data Analyst
31,Male,Master's,Senior Financial Analyst,6,95000.0,Data Analyst
40,Female,Bachelor's,Manager,15,65000.0,Management
48,Male,PhD,Principal Engineer,20,170000.0,Engineering
29,Female,Bachelor's,Junior Hr Generalist,3,45000.0,Human Resources
35,Male,Master's,Senior Manager,10,120000.0,Management
42,Female,Bachelor's,Manager,17,100000.0,Management
53,Male,Master's,Director Of Marketing,25,180000.0,Management
33,Female,Bachelor's,Junior Operations Analyst,5,50000.0,Data Analyst
38,Male,Bachelor's,Manager,11,80000.0,Management
44,Female,PhD,Senior Scientist,16,140000.0,Research
26,Male,Bachelor's,Junior Accountant,2,40000.0,Finance
37,Female,Master's,Senior Hr Generalist,9,95000.0,Human Resources
45,Male,Bachelor's,Manager,18,110000.0,Management
32,Female,Bachelor's,Marketing Coordinator,4,50000.0,Sales and Marketing
34,Male,Master's,Senior Software Developer,8,105000.0,Engineering
50,Female,Master's,Director Of Operations,21,160000.0,Management
29,Male,Bachelor's,Junior Web Designer,3,45000.0,Other
40,Female,Master's,Senior Training Specialist,12,100000.0,Other
47,Male,PhD,Senior Research Scientist,22,160000.0,Research
27,Male,Bachelor's,Junior Sales Representative,1,35000.0,Sales and Marketing
39,Female,Bachelor's,Administrative Assistant,10,55000.0,Other
46,Male,Master's,Senior Manager,19,140000.0,Management
30,Female,Bachelor's,Manager,4,50000.0,Management
36,Male,Bachelor's,Data Analyst,7,60000.0,Data Analyst
43,Female,Master's,Senior Manager,14,120000.0,Management
28,Male,Bachelor's,Junior Business Analyst,2,40000.0,Data Analyst
41,Female,Master's,Senior Manager,13,110000.0,Management
33,Male,Bachelor's,Junior Software Developer,5,50000.0,Engineering
47,Male,Bachelor's,Senior Manager,20,135000.0,Management
25,Female,Master's,Junior Marketing Specialist,2,40000.0,Sales and Marketing
34,Male,Bachelor's,Senior Business Analyst,8,90000.0,Data Analyst
42,Female,PhD,Senior Data Scientist,16,150000.0,Research
31,Male,Bachelor's,Manager,4,60000.0,Management
38,Female,Bachelor's,Senior Accountant,10,80000.0,Finance
45,Male,Master's,Director Of Sales,19,175000.0,Management
29,Female,Bachelor's,Junior Recruiter,3,45000.0,Human Resources
36,Male,Master's,Senior Manager,11,120000.0,Management
43,Female,PhD,Senior Product Designer,18,140000.0,Other
26,Male,Bachelor's,Junior Customer Support Specialist,2,35000.0,Other
37,Female,Master's,Senior Marketing Analyst,9,95000.0,Data Analyst
44,Male,Bachelor's,Senior It Support Specialist,14,110000.0,IT
32,Female,Bachelor's,Junior Financial Analyst,5,50000.0,Data Analyst
33,Male,Master's,Senior Manager,7,115000.0,Management
51,Female,PhD,Director Of Human Resources,23,185000.0,Management
28,Male,Bachelor's,Software Engineer,2,40000.0,Engineering
39,Female,Bachelor's,Senior Sales Representative,12,90000.0,Sales and Marketing
48,Male,Master's,Director Of Product Management,21,175000.0,Management
30,Female,Bachelor's,Junior Copywriter,3,45000.0,Other
35,Male,Bachelor's,Senior Marketing Coordinator,7,80000.0,Sales and Marketing
41,Female,Master's,Senior Manager,13,120000.0,Management
27,Male,Bachelor's,Junior Business Development Associate,2,35000.0,Sales and Marketing
40,Female,Bachelor's,Senior Manager,14,110000.0,Management
46,Male,PhD,Senior Researcher,18,150000.0,Research
31,Female,Bachelor's,Junior Hr Coordinator,4,50000.0,Human Resources
34,Male,Master's,Software Engineer,9,105000.0,Engineering
50,Female,Master's,Director Of Finance,20,180000.0,Management
29,Male,Bachelor's,Junior Marketing Coordinator,2,40000.0,Sales and Marketing
43,Male,Bachelor's,Senior Manager,16,140000.0,Management
26,Female,Master's,Junior Data Scientist,2,45000.0,Research
35,Male,Bachelor's,Senior Operations Analyst,7,85000.0,Data Analyst
42,Female,PhD,Senior Manager,18,140000.0,Management
31,Male,Bachelor's,Junior Accountant,4,50000.0,Finance
38,Female,Bachelor's,Senior Human Resources Coordinator,10,80000.0,Human Resources
46,Male,Master's,Director Of Operations,20,170000.0,Management
29,Female,Bachelor's,Junior Sales Representative,2,40000.0,Sales and Marketing
37,Male,Master's,Senior Business Analyst,9,105000.0,Data Analyst
44,Female,PhD,Senior Ux Designer,15,145000.0,Other
27,Male,Bachelor's,Manager,2,40000.0,Management
36,Female,Bachelor's,Senior Marketing Specialist,8,85000.0,Sales and Marketing
43,Male,Bachelor's,Senior Manager,14,130000.0,Management
33,Female,Master's,Senior Financial Analyst,6,95000.0,Data Analyst
34,Male,Bachelor's,Senior Quality Assurance Analyst,9,100000.0,Data Analyst
50,Female,PhD,Director Of Sales And Marketing,22,180000.0,Management
28,Male,Bachelor's,Junior Operations Analyst,2,35000.0,Data Analyst
39,Female,Bachelor's,Senior Account Executive,12,95000.0,Management
47,Male,Master's,Director Of Business Development,19,170000.0,Management
30,Female,Bachelor's,Manager,3,45000.0,Management
34,Male,Bachelor's,Senior Manager,7,95000.0,Management
40,Female,Master's,Senior Human Resources Specialist,13,120000.0,Human Resources
28,Male,Bachelor's,Junior Business Analyst,2,40000.0,Data Analyst
41,Female,Bachelor's,Senior Marketing Coordinator,11,90000.0,Sales and Marketing
45,Male,PhD,Data Analyst,17,155000.0,Data Analyst
32,Female,Bachelor's,Manager,5,55000.0,Management
35,Male,Master's,Senior Software Developer,9,110000.0,Engineering
49,Female,Master's,Director Of Human Capital,21,180000.0,Management
30,Male,Bachelor's,Junior Advertising Coordinator,3,45000.0,Other
44,Male,Bachelor's,Senior Manager,16,130000.0,Management
27,Female,Master's,Junior Ux Designer,2,45000.0,Other
36,Male,Bachelor's,Senior Accountant,7,90000.0,Finance
41,Female,PhD,Senior Marketing Director,17,160000.0,Management
31,Male,Bachelor's,Junior Hr Generalist,4,50000.0,Human Resources
39,Female,Bachelor's,Senior Manager,10,120000.0,Management
47,Male,Master's,Director Of Finance,20,170000.0,Management
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000.0,Sales and Marketing
38,Male,Master's,Senior It Consultant,9,110000.0,IT
45,Female,PhD,Senior Product Designer,15,150000.0,Other
28,Male,Bachelor's,Junior Business Development Associate,2,40000.0,Sales and Marketing
35,Female,Bachelor's,Senior Marketing Analyst,8,85000.0,Data Analyst
44,Male,Bachelor's,Software Engineer,14,130000.0,Engineering
34,Female,Master's,Senior Financial Advisor,6,100000.0,Finance
35,Male,Bachelor's,Senior Project Coordinator,9,95000.0,Other
50,Female,PhD,Director Of Operations,22,180000.0,Management
29,Male,Bachelor's,Junior Business Operations Analyst,2,35000.0,Data Analyst
40,Female,Bachelor's,Senior Sales Representative,12,100000.0,Sales and Marketing
48,Male,Master's,Director Of Marketing,19,170000.0,Management
31,Female,Bachelor's,Junior Social Media Specialist,3,45000.0,Other
33,Male,Bachelor's,Senior Manager,7,100000.0,Management
42,Female,Master's,Senior Manager,13,140000.0,Management
28,Male,Bachelor's,Junior Financial Analyst,2,40000.0,Data Analyst
40,Female,Bachelor's,Senior Manager,11,105000.0,Management
46,Male,PhD,Senior Data Scientist,18,160000.0,Research
33,Female,Bachelor's,Manager,5,70000.0,Management
37,Male,Master's,Senior Software Architect,9,120000.0,Engineering
51,Female,Master's,Director Of Human Resources,21,190000.0,Management
30,Male,Bachelor's,Junior Marketing Specialist,3,45000.0,Sales and Marketing
43,Male,Bachelor's,Senior Manager,15,120000.0,Management
27,Female,Master's,Junior Research Scientist,2,50000.0,Research
35,Male,Bachelor's,Senior Operations Analyst,8,85000.0,Data Analyst
42,Female,PhD,Senior Manager,13,140000.0,Management
32,Male,Bachelor's,Junior Sales Representative,3,45000.0,Sales and Marketing
37,Female,Bachelor's,Senior Financial Analyst,9,100000.0,Data Analyst
45,Male,Master's,Senior Software Developer,16,140000.0,Engineering
33,Female,Bachelor's,Junior Operations Analyst,5,70000.0,Data Analyst
39,Male,Bachelor's,Senior Marketing Specialist,10,120000.0,Sales and Marketing
44,Female,PhD,Senior Manager,18,160000.0,Management
29,Male,Bachelor's,Junior Business Analyst,2,40000.0,Data Analyst
38,Female,Bachelor's,Senior Manager,10,120000.0,Management
46,Male,PhD,Data Analyst,19,150000.0,Data Analyst
34,Female,Bachelor's,Junior Marketing Analyst,6,70000.0,Data Analyst
36,Male,Bachelor's,Senior Manager,8,95000.0,Management
49,Female,Master's,Director Of Marketing,21,180000.0,Management
31,Male,Bachelor's,Junior Financial Analyst,3,50000.0,Data Analyst
41,Female,Bachelor's,Senior Project Coordinator,11,95000.0,Other
47,Male,Master's,Director Of Operations,20,170000.0,Management
30,Female,Bachelor's,Junior Marketing Coordinator,2,40000.0,Sales and Marketing
38,Male,Master's,Senior It Consultant,9,110000.0,IT
45,Female,PhD,Senior Product Designer,15,150000.0,Other
28,Male,Bachelor's,Junior Business Development Associate,2,40000.0,Sales and Marketing
35,Female,Bachelor's,Senior Marketing Analyst,8,85000.0,Data Analyst
44,Male,Bachelor's,Software Engineer,14,130000.0,Engineering
34,Female,Master's,Senior Financial Advisor,6,100000.0,Finance
35,Male,Bachelor's,Senior Project Coordinator,9,95000.0,Other
50,Female,PhD,Director Of Operations,22,180000.0,Management
37,Female,Bachelor's,Senior Manager,10,120000.0,Management
46,Male,PhD,Senior Data Scientist,18,160000.0,Research
31,Female,Bachelor's,Junior Marketing Coordinator,3,50000.0,Sales and Marketing
42,Male,Bachelor's,Senior Manager,12,110000.0,Management
29,Female,Bachelor's,Junior Sales Representative,2,40000.0,Sales and Marketing
36,Male,Bachelor's,Senior Marketing Specialist,8,95000.0,Sales and Marketing
44,Female,Master's,Senior Hr Specialist,15,140000.0,Human Resources
33,Male,Bachelor's,Manager,4,60000.0,Management
39,Female,Bachelor's,Senior Marketing Coordinator,9,110000.0,Sales and Marketing
45,Male,PhD,Senior Data Engineer,16,150000.0,Data Science & Eng
32,Female,Bachelor's,Manager,4,60000.0,Management
37,Male,Bachelor's,Senior Financial Analyst,8,90000.0,Data Analyst
47,Female,Master's,Director Of Marketing,20,180000.0,Management
30,Male,Bachelor's,Junior Business Analyst,2,40000.0,Data Analyst
38,Female,Bachelor's,Senior Manager,9,120000.0,Management
46,Male,PhD,Data Analyst,17,160000.0,Data Analyst
34,Female,Bachelor's,Junior Financial Analyst,5,70000.0,Data Analyst
36,Male,Bachelor's,Senior Manager,8,95000.0,Management
49,Female,Master's,Director Of Operations,21,180000.0,Management
31,Male,Bachelor's,Junior Operations Analyst,3,50000.0,Data Analyst
41,Female,Bachelor's,Senior Project Coordinator,11,95000.0,Other
47,Male,Master's,Director Of Marketing,19,170000.0,Management
29,Female,Bachelor's,Junior Business Development Associate,2,35000.0,Sales and Marketing
35,Male,Bachelor's,Senior Manager,9,100000.0,Management
44,Female,PhD,Senior Product Designer,15,150000.0,Other
33,Male,Bachelor's,Junior Business Analyst,4,60000.0,Data Analyst
35,Female,Bachelor's,Senior Marketing Analyst,8,85000.0,Data Analyst
44,Male,Bachelor's,Software Engineer,13,130000.0,Engineering
32,Male,Bachelor's,Manager,4,65000.0,Management
38,Female,Bachelor's,Senior Business Analyst,10,110000.0,Data Analyst
49,Male,PhD,Director Of Operations,21,180000.0,Management
29,Female,Bachelor's,Junior Marketing Specialist,2,40000.0,Sales and Marketing
35,Male,Bachelor's,Senior Manager,7,90000.0,Management
45,Female,Master's,Senior Manager,14,140000.0,Management
33,Male,Bachelor's,Junior Financial Analyst,4,60000.0,Data Analyst
40,Female,Bachelor's,Senior Manager,12,130000.0,Management
44,Male,PhD,Senior Data Scientist,16,160000.0,Research
30,Female,Bachelor's,Junior Operations Coordinator,2,40000.0,Operations
37,Male,Bachelor's,Senior Marketing Analyst,9,100000.0,Data Analyst
48,Female,Master's,Director Of Hr,20,180000.0,Management
31,Male,Bachelor's,Manager,3,55000.0,Management
38,Female,Bachelor's,Senior Operations Coordinator,9,120000.0,Operations
45,Male,PhD,Senior Data Engineer,16,150000.0,Data Science & Eng
33,Female,Bachelor's,Manager,5,70000.0,Management
36,Male,Bachelor's,Senior Business Analyst,8,95000.0,Data Analyst
49,Female,Master's,Director Of Marketing,21,180000.0,Management
31,Male,Bachelor's,Junior Operations Analyst,3,50000.0,Data Analyst
42,Female,Bachelor's,Senior Manager,12,120000.0,Management
47,Male,Master's,Director Of Marketing,19,170000.0,Management
29,Female,Bachelor's,Junior Business Development Associate,2,35000.0,Sales and Marketing
35,Male,Bachelor's,Senior Manager,9,100000.0,Management
44,Female,PhD,Senior Product Designer,15,150000.0,Other
33,Male,Bachelor's,Junior Business Analyst,4,60000.0,Data Analyst
35,Female,Bachelor's,Senior Marketing Analyst,8,85000.0,Data Analyst
44,Male,Bachelor's,Software Engineer,13,130000.0,Engineering
34,Female,Master's,Senior Financial Advisor,6,80000.0,Finance
36,Male,Bachelor's,Senior Marketing Specialist,8,95000.0,Sales and Marketing
30,Female,Bachelor's,Junior Hr Coordinator,2,40000.0,Human Resources
37,Male,Bachelor's,Senior Manager,10,120000.0,Management
45,Female,Master's,Senior Manager,16,160000.0,Management
32,Male,Bachelor's,Junior Financial Advisor,4,65000.0,Finance
39,Female,Bachelor's,Senior Manager,12,130000.0,Management
47,Male,PhD,Director Of Engineering,20,180000.0,Management
29,Female,Bachelor's,Junior Marketing Analyst,2,40000.0,Data Analyst
36,Male,Bachelor's,Senior Manager,9,100000.0,Management
43,Female,PhD,Senior Data Scientist,15,150000.0,Research
32,Male,Bachelor's,Junior Marketing Coordinator,3,55000.0,Sales and Marketing
38,Female,Bachelor's,Senior Business Analyst,10,110000.0,Data Analyst
48,Male,Master's,Director Of Marketing,21,180000.0,Management
31,Female,Bachelor's,Junior Business Development Associate,3,50000.0,Sales and Marketing
40,Male,Bachelor's,Senior Financial Analyst,12,130000.0,Data Analyst
45,Female,PhD,Senior Ux Designer,16,160000.0,Other
33,Male,Bachelor's,Manager,4,60000.0,Management
36,Female,Bachelor's,Senior Manager,8,95000.0,Management
47,Male,Master's,Director Of Operations,19,170000.0,Management
29,Female,Bachelor's,Manager,2,40000.0,Management
34,Male,Bachelor's,Senior Operations Coordinator,7,90000.0,Operations
44,Female,PhD,Senior Business Analyst,15,150000.0,Data Analyst
33,Male,Bachelor's,Junior Marketing Specialist,5,70000.0,Sales and Marketing
35,Female,Bachelor's,Senior Manager,8,90000.0,Management
43,Male,Master's,Director Of Marketing,18,170000.0,Management
31,Female,Bachelor's,Junior Financial Analyst,3,50000.0,Data Analyst
41,Male,Bachelor's,Senior Manager,14,150000.0,Management
44,Female,PhD,Senior Data Engineer,16,160000.0,Data Science & Eng
33,Male,Bachelor's,Junior Business Analyst,4,60000.0,Data Analyst
35,Female,Bachelor's,Senior Marketing Analyst,8,85000.0,Data Analyst
45,Male,Master's,Director Of Engineering,19,180000.0,Management
28,Female,Bachelor's,Manager,1,35000.0,Management
36,Male,Bachelor's,Senior Manager,8,110000.0,Management
44,Female,PhD,Senior Data Scientist,16,160000.0,Research
31,Male,Bachelor's,Junior Marketing Coordinator,3,55000.0,Sales and Marketing
38,Female,Bachelor's,Senior Business Analyst,10,110000.0,Data Analyst
48,Male,Master's,Director Of Marketing,21,180000.0,Management
31,Female,Bachelor's,Junior Business Development Associate,3,50000.0,Sales and Marketing
40,Male,Bachelor's,Senior Financial Analyst,12,130000.0,Data Analyst
45,Female,PhD,Senior Ux Designer,16,160000.0,Other
33,Male,Bachelor's,Manager,4,60000.0,Management
36,Female,Bachelor's,Senior Manager,8,95000.0,Management
47,Male,Master's,Director Of Operations,19,170000.0,Management
29,Female,Bachelor's,Manager,2,40000.0,Management
34,Male,Bachelor's,Senior Operations Coordinator,7,90000.0,Operations
44,Female,PhD,Senior Business Analyst,15,150000.0,Data Analyst
33,Male,Bachelor's,Junior Marketing Specialist,5,70000.0,Sales and Marketing
35,Female,Bachelor's,Senior Manager,8,90000.0,Management
43,Male,Master's,Director Of Marketing,18,170000.0,Management
31,Female,Bachelor's,Junior Financial Analyst,3,50000.0,Data Analyst
41,Male,Bachelor's,Senior Manager,14,150000.0,Management
44,Female,PhD,Senior Data Engineer,16,160000.0,Data Science & Eng
33,Male,Bachelor's,Junior Business Analyst,4,60000.0,Data Analyst
35,Female,Bachelor's,Senior Marketing Analyst,8,85000.0,Data Analyst
43,Male,Master's,Director Of Operations,19,170000.0,Management
29,Female,Bachelor's,Manager,2,40000.0,Management
34,Male,Bachelor's,Senior Operations Coordinator,7,90000.0,Operations
44,Female,PhD,Senior Business Analyst,15,150000.0,Data Analyst
31,Male,Master's,Data Scientist,6,160000.0,Research
28,Female,Bachelor's,Software Engineer,3,125000.0,Engineering
26,Male,Master's,Manager,2,120000.0,Management
27,Female,Bachelor's,Data Analyst,2,110000.0,Data Analyst
30,Male,PhD,Data Scientist,5,180000.0,Research
29,Female,Bachelor's,Software Engineer,4,140000.0,Engineering
32,Male,Bachelor's,Manager,7,170000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
27,Male,PhD,Data Scientist,2,115000.0,Research
29,Female,Bachelor's,Software Engineer,4,140000.0,Engineering
34,Male,Bachelor's,Manager,9,185000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
28,Male,Bachelor's,Software Engineer,3,125000.0,Engineering
26,Female,Master's,Manager,2,120000.0,Management
27,Male,Bachelor's,Data Analyst,2,110000.0,Data Analyst
30,Female,PhD,Data Scientist,5,180000.0,Research
29,Male,Bachelor's,Software Engineer,4,140000.0,Engineering
32,Male,Bachelor's,Manager,7,170000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
27,Male,PhD,Data Scientist,2,115000.0,Research
29,Female,Bachelor's,Software Engineer,4,140000.0,Engineering
34,Male,Bachelor's,Manager,9,185000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
28,Male,Bachelor's,Software Engineer,3,125000.0,Engineering
26,Female,Master's,Manager,2,120000.0,Management
27,Male,Bachelor's,Data Analyst,2,110000.0,Data Analyst
30,Female,PhD,Data Scientist,5,180000.0,Research
29,Male,Bachelor's,Software Engineer,4,140000.0,Engineering
32,Male,Bachelor's,Manager,7,170000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
27,Male,PhD,Data Scientist,2,115000.0,Research
29,Female,Bachelor's,Software Engineer,4,140000.0,Engineering
34,Male,Bachelor's,Manager,9,185000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
28,Male,Bachelor's,Software Engineer,3,125000.0,Engineering
26,Female,Master's,Manager,2,120000.0,Management
27,Male,Bachelor's,Data Analyst,2,110000.0,Data Analyst
30,Female,PhD,Data Scientist,5,180000.0,Research
29,Male,Bachelor's,Software Engineer,4,140000.0,Engineering
32,Male,Bachelor's,Manager,7,170000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
27,Male,PhD,Data Scientist,2,115000.0,Research
29,Female,Bachelor's,Software Engineer,4,140000.0,Engineering
34,Male,Bachelor's,Manager,9,185000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
30,Female,Bachelor's,Data Analyst,5,145000.0,Data Analyst
27,Male,PhD,Data Scientist,2,115000.0,Research
29,Female,Bachelor's,Software Engineer,4,140000.0,Engineering
34,Male,Bachelor's,Manager,9,185000.0,Management
25,Female,Master's,Data Analyst,1,100000.0,Data Analyst
33,Male,PhD,Data Scientist,8,190000.0,Research
31,Female,Bachelor's,Software Engineer,6,155000.0,Engineering
28,Male,Master's,Manager,3,130000.0,Management
